,cDAQ1Mod1/ai2,cDAQ1Mod1/ai3,cDAQ1Mod1/ai4
0,4.718278089999999,3.945795446,7.58225506
1,4.631040197999999,3.9615434779999994,7.777136362
2,4.760257225999999,3.988446366,7.844721459999999
3,4.7071273819999995,3.9831970219999997,7.716112923999999
4,4.829129246,4.070467366,7.764669207999999
5,4.704503686,4.011412246,7.811256994
6,4.717622166,3.9175802219999993,7.750233556
7,4.650717917999999,4.0022258939999995,7.855876282
8,4.623169109999999,4.020598597999999,7.7567952159999995
9,4.713030697999999,4.078341382,7.826348811999999
10,4.741891353999999,3.9123308779999992,7.836191301999999
11,4.747794669999999,4.028472614,7.849314622
12,4.640223133999999,3.9129870459999996,7.764669207999999
13,4.775343477999999,3.9831970219999997,7.709551263999999
14,4.628416501999999,3.9615434779999994,7.842096796
15,4.6946648259999995,4.0317534539999995,7.8079761639999985
16,4.730740645999999,3.989102534,7.734485571999999
17,4.776655325999999,3.92151723,7.741703398
18,4.708439229999999,3.9963203819999995,7.785010354
19,4.764848693999999,4.080966054,7.855220115999999
20,4.792397501999999,3.9904148699999995,7.806007665999998
21,4.778623098,3.9444831099999997,7.743015729999999
22,4.78387049,4.021254765999999,7.682648457999999
23,4.708439229999999,4.00025739,7.884747586
24,4.642190905999999,3.9700736620000003,7.725955413999999
25,4.774031629999999,4.014036918,7.863750273999999
26,4.6572771579999985,3.9569503019999996,7.8808105899999985
27,4.668427865999999,3.978603846,7.835535135999999
28,4.689417433999999,4.074404373999999,7.8053515
29,4.701224065999999,3.9077377019999995,7.804695334
30,4.703191837999999,4.01338075,7.76926237
31,4.778623098,4.075060542,7.980547821999998
32,4.771407933999999,4.042252142,7.857188613999999
33,4.621201338,4.05275083,7.771887033999999
34,4.648094221999999,4.01666159,7.863750273999999
35,4.751730213999999,4.068498861999999,7.8434091279999985
36,4.766160541999999,4.026504109999999,7.754170551999999
37,4.699256294,3.923485734,7.810600827999999
38,4.768128313999999,4.000913558,7.739734899999999
39,4.667771941999999,3.99697655,7.765325374
40,4.655309385999999,3.9169240539999994,7.788291183999998
41,4.796333046,4.021910934,7.777136362
42,4.806171905999999,3.989758702,7.752202053999999
43,4.796988969999999,4.0199424299999995,7.878185926
44,4.796333046,3.943826942,7.952988849999999
45,4.758289454,3.958262638,7.838815965999999
46,4.762224997999999,4.03306579,7.7528582199999985
47,4.775999402,4.0724358700000005,7.830941974
48,4.735332113999999,3.903800694,7.806007665999998
49,4.808795602,3.9569503019999996,7.766637706
50,4.717622166,3.99369571,7.8604694440000005
51,4.815354842,4.035690462,7.750889722
52,4.730740645999999,3.9812285179999995,7.773199365999999
53,4.819946309999999,3.9464516139999994,7.846689957999999
54,4.785182337999999,4.035034294,7.850626954
55,4.745170974,4.046845318,7.8827790879999995
56,4.618577642,4.03634663,7.874248929999999
57,4.697944445999999,4.0429083100000005,7.8959024079999995
58,4.660556777999999,3.9661366539999996,7.765325374
59,4.785182337999999,4.058000174,7.829629642
60,4.667771941999999,3.864430614,7.832910472
